beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
3,3,2850,sqft,4200,sqft,98119,1175000
4,5,3040,sqft,5002,sqft,98106,1057500
3,1,1290,sqft,6048,sqft,98125,799000
3,2,2360,sqft,0.28,acre,98188,565000
3,3.5,1942,sqft,1603,sqft,98107,1187000
2,2,963,sqft,4753,sqft,98122,701000
1,1,756,sqft,,,98105,480000
4,6,3300,sqft,5810,sqft,98199,1795000
4,2,2060,sqft,4206,sqft,98144,1025000
1,1,672,sqft,,,98122,450000
3,2.5,1760,sqft,3630,sqft,98122,1135000
1,1.5,924,sqft,,,98121,568000
3,2,2500,sqft,5000,sqft,98136,648000
2,2,1800,sqft,0.72,acre,98199,699950
1,1,574,sqft,,,98104,429950
2,2,2241,sqft,1.09,acre,98112,2450000
3,1.5,2320,sqft,4000,sqft,98109,1275000
2,2,1415,sqft,,,98125,449000
3,1.5,1750,sqft,2460,sqft,98102,925000
3,3,2340,sqft,6640,sqft,98126,974898
4,2,1690,sqft,0.32,acre,98168,550000
3,2.5,2320,sqft,3500,sqft,98103,1175000
2,1,1760,sqft,5000,sqft,98116,700000
1,1,685,sqft,,,98121,570000
2,2,946,sqft,3250,sqft,98103,690000
3,2,1610,sqft,3060,sqft,98146,540000
3,1,1390,sqft,3774,sqft,98105,450000
2,1,1620,sqft,6600,sqft,98178,487639
4,2.5,2010,sqft,6000,sqft,98136,982000
2,1.5,890,sqft,2875,sqft,98146,510000
2,2,964,sqft,3.97,acre,98126,512500
2,1,980,sqft,2226,sqft,98144,598000
4,4,3310,sqft,4313,sqft,98116,1215000
2,1,840,sqft,4263,sqft,98146,485000
2,2,1878,sqft,,,98115,515000
3,2,1910,sqft,2000,sqft,98109,1090000
2,1,900,sqft,4066,sqft,98133,474000
3,2,2210,sqft,7200,sqft,98118,1425000
3,2.5,2168,sqft,,,98119,1700000
3,2,2760,sqft,4800,sqft,98105,1235000
2,2.5,2760,sqft,3.06,acre,98105,1440000
2,2.5,1291,sqft,793,sqft,98144,680000
7,6,3780,sqft,5020,sqft,98119,1210000
4,3,2190,sqft,4000,sqft,98112,1685000
4,3.5,4027,sqft,0.3,acre,98199,2170000
4,2.5,3410,sqft,9602,sqft,98125,1700000
5,2,2470,sqft,3880,sqft,98107,905000
3,2,1850,sqft,3880,sqft,98117,890000
4,3,2430,sqft,5160,sqft,98106,995000
2,2,1395,sqft,797,sqft,98199,751849
2,1.5,1290,sqft,5100,sqft,98117,869000
4,1,1485,sqft,6050,sqft,98178,500000
1,1,718,sqft,0.65,acre,98115,525000
3,2.5,2220,sqft,8353,sqft,98177,1350000
2,2,899,sqft,,,98103,587000
2,1,785,sqft,,,98102,470000
3,3,2225,sqft,,,98101,2850000
3,2,1648,sqft,6250,sqft,98126,765000
5,3,1840,sqft,5415,sqft,98115,650000
3,2.5,1785,sqft,1500,sqft,98144,850000
3,1.5,1520,sqft,9405,sqft,98136,1200000
3,1.5,1460,sqft,0.25,acre,98168,410000
2,2,1656,sqft,,,98115,642000
3,1.5,1690,sqft,4226,sqft,98105,625000
4,2.5,3200,sqft,0.28,acre,98118,1100000
2,2,1030,sqft,4507,sqft,98112,825000
3,2.5,1220,sqft,1095,sqft,98109,900000
3,2,1330,sqft,2875,sqft,98126,705000
2,1,877,sqft,4.06,acre,98146,350000
2,2,1254,sqft,,,98121,1069000
4,3,3160,sqft,4830,sqft,98116,1425000
3,2,1305,sqft,4400,sqft,98118,714000
3,2,2798,sqft,3667,sqft,98109,1185000
4,2,2100,sqft,4799,sqft,98199,1000000
3,2.5,1620,sqft,5000,sqft,98117,885000
1,1,801,sqft,0.54,acre,98102,499995
5,2,2180,sqft,4000,sqft,98144,927500
2,2,1025,sqft,,,98126,470000
3,2.5,1830,sqft,1929,sqft,98116,1150000
3,2.5,1800,sqft,2380,sqft,98126,715000
3,2,2470,sqft,4192,sqft,98105,705000
2,1,2090,sqft,3290,sqft,98103,820000
1,1,661,sqft,8255,sqft,98102,415000
5,5,2440,sqft,0.36,acre,98115,1505000
3,1.5,1770,sqft,0.52,acre,98168,539000
3,2.5,1540,sqft,1189,sqft,98107,756000
5,4,3510,sqft,5400,sqft,98199,1735000
5,3,2480,sqft,5300,sqft,98126,845000
4,2.5,1690,sqft,6000,sqft,98108,399950
9,6,6139,sqft,5750,sqft,98116,2800000
5,4,4770,sqft,9000,sqft,98115,1140000
2,2,1353,sqft,,,98115,749000
3,1.5,1190,sqft,4800,sqft,98108,197009
5,3.5,4280,sqft,4000,sqft,98102,2300000
1,1,810,sqft,7500,sqft,98108,385000
3,2,1540,sqft,3755,sqft,98108,632500
3,2.5,1660,sqft,8450,sqft,98146,695000
3,2,1640,sqft,4320,sqft,98136,907500
2,1,1600,sqft,3750,sqft,98117,852500
4,2,1300,sqft,6240,sqft,98146,589950
2,2,1192,sqft,583,sqft,98117,674800
2,1,720,sqft,4000,sqft,98106,540000
2,2,1171,sqft,,,98103,685000
3,2.5,1390,sqft,1242,sqft,98125,569995
4,1.5,2260,sqft,0.27,acre,98125,678000
2,1,585,sqft,0.31,acre,98107,430000
4,2.5,1333,sqft,1.22,acre,98118,476000
4,1,1530,sqft,7810,sqft,98126,565000
2,1,1720,sqft,3175,sqft,98144,619000
1,1,591,sqft,,,98121,405000
2,1,839,sqft,0.25,acre,98199,449000
2,2,886,sqft,1037,sqft,98116,640000
1,1,872,sqft,,,98107,550000
4,3.5,2780,sqft,3060,sqft,98146,900000
3,3.5,1770,sqft,1669,sqft,98107,1025000
4,2.5,3096,sqft,9375,sqft,98177,1870000
2,1,1750,sqft,3200,sqft,98103,840000
5,3,3110,sqft,0.24,acre,98177,2800000
1,1,608,sqft,0.57,acre,98103,360000
2,2,866,sqft,,,98122,543000
3,2,1710,sqft,6179,sqft,98117,1015000
3,2,1250,sqft,1306,sqft,98107,750000
4,2,3195,sqft,5434,sqft,98199,1490000
7,3.5,3550,sqft,7680,sqft,98199,1850000
3,1.5,2800,sqft,3876,sqft,98103,1000000
7,7,3580,sqft,5500,sqft,98105,1850000
3,3.5,1650,sqft,1701,sqft,98107,1050000
1,1,610,sqft,,,98119,340000
4,2,2950,sqft,3417,sqft,98199,1200000
4,3,2480,sqft,5000,sqft,98105,1950000
3,2,1600,sqft,6845,sqft,98125,500000
1,1,662,sqft,,,98101,685000
4,2.5,2660,sqft,5300,sqft,98122,1745000
4,3,2960,sqft,8645,sqft,98178,875000
3,2.5,2060,sqft,1142,sqft,98103,1170000
3,3,1860,sqft,3060,sqft,98119,1260000
3,1.5,1833,sqft,2114,sqft,98122,985000
3,2,1404,sqft,9974,sqft,98146,449000
3,3,1540,sqft,993,sqft,98122,900000
1,1,772,sqft,,,98121,439000
4,1,2169,sqft,0.23,acre,98118,867000
3,2,1840,sqft,5100,sqft,98136,851000
3,4,2080,sqft,8777,sqft,98133,2250000
4,3.5,3738,sqft,4000,sqft,98102,3480000
1,1,610,sqft,6150,sqft,98126,425000
5,2.5,2786,sqft,6760,sqft,98125,900000
3,1,1950,sqft,7686,sqft,98177,562500
3,1,1580,sqft,3880,sqft,98103,704950
2,1.5,900,sqft,,,98133,455000
3,2.5,1757,sqft,1873,sqft,98103,1155000
2,2.5,2349,sqft,3200,sqft,98122,1775000
1,1,506,sqft,,,98121,396000
2,2.5,3030,sqft,5381,sqft,98199,2600000
4,3.5,3760,sqft,4720,sqft,98116,2200000
2,2,840,sqft,1400,sqft,98116,645000
1,1,588,sqft,0.37,acre,98103,335000
4,2.5,3480,sqft,5043,sqft,98103,2150000
2,1.5,1065,sqft,1138,sqft,98117,850000
2,1.5,917,sqft,5000,sqft,98103,625000
1,1,603,sqft,,,98121,450000
1,1,704,sqft,,,98133,278000
2,2.5,2140,sqft,983,sqft,98109,835000
2,1.5,1059,sqft,4001,sqft,98106,499000
3,2,1500,sqft,4500,sqft,98107,905000
2,2,1271,sqft,,,98107,725000
1,1,862,sqft,,,98104,430000
2,1,1660,sqft,6380,sqft,98115,822000
3,2.5,1360,sqft,1001,sqft,98144,719950
2,2,1345,sqft,,,98119,700000
4,3.5,3500,sqft,4080,sqft,98115,1720000
2,1,1070,sqft,7620,sqft,98106,520000
4,5.5,2867,sqft,4550,sqft,98122,1650000
4,2.5,2230,sqft,5878,sqft,98115,1475000
2,1.5,900,sqft,,,98133,549755
3,1.5,1892,sqft,1.08,acre,98112,692500
2,2,921,sqft,,,98121,675000
4,3,2580,sqft,7200,sqft,98118,1025000
3,2.5,2720,sqft,4609,sqft,98103,1450000
3,3,2290,sqft,3000,sqft,98103,1108000
3,2.5,2750,sqft,3750,sqft,98103,1300000
3,1,1100,sqft,6000,sqft,98108,505000
5,5,2260,sqft,6175,sqft,98115,2100000
4,3.5,2970,sqft,5323,sqft,98199,2334500
4,2,1840,sqft,7335,sqft,98108,640000
4,3,3510,sqft,8268,sqft,98122,1550000
2,2,916,sqft,,,98109,545000
2,2,1162,sqft,,,98102,730000
3,2,2330,sqft,5000,sqft,98117,1160000
1,1,848,sqft,,,98107,575000
2,2,1320,sqft,5000,sqft,98117,841000
2,1,770,sqft,8604,sqft,98118,250000
4,3.5,3140,sqft,3751,sqft,98117,1825000
3,2,1360,sqft,6656,sqft,98115,935000
2,1,960,sqft,8057,sqft,98199,515000
4,1,1080,sqft,6755,sqft,98118,565000
4,3,2360,sqft,9130,sqft,98136,1100000
3,2,1550,sqft,795,sqft,98199,699000
1,1,376,sqft,0.23,acre,98199,1000000
1,1,722,sqft,,,98118,299000
2,1,790,sqft,,,98103,615000
3,2.5,1600,sqft,1056,sqft,98103,1150000
2,2,1338,sqft,,,98119,700000
3,1,1240,sqft,6240,sqft,98133,715000
2,2.5,1400,sqft,824,sqft,98102,1062500
1,1,602,sqft,,,98144,374000
4,3.5,4120,sqft,6950,sqft,98178,1209000
4,2,1780,sqft,3650,sqft,98117,965000
2,2,2270,sqft,6885,sqft,98125,900000
3,1.5,1550,sqft,7628,sqft,98133,699950
3,2,1281,sqft,625,sqft,98136,670000
3,2.5,2760,sqft,6003,sqft,98115,1565000
2,2.5,2030,sqft,7500,sqft,98136,1200000
4,2.5,2210,sqft,5750,sqft,98116,1225000
4,3.5,2023,sqft,3096,sqft,98122,1325000
1,1,589,sqft,,,98125,262000
3,2.5,2710,sqft,6840,sqft,98178,880000
1,1,676,sqft,,,98117,355000
2,1,1640,sqft,2200,sqft,98103,740000
4,2.5,2020,sqft,7280,sqft,98133,903000
3,3,2080,sqft,4720,sqft,98126,819000
3,3,2000,sqft,3210,sqft,98103,990000
2,1,740,sqft,6300,sqft,98126,390000
2,1,987,sqft,,,98103,660000
7,4,2540,sqft,3000,sqft,98103,730000
3,2.5,1690,sqft,3264,sqft,98126,780000
4,2.5,3190,sqft,4700,sqft,98144,869000
4,1,1610,sqft,7200,sqft,98144,885000
3,2.5,2130,sqft,3100,sqft,98115,930000
3,2.5,1480,sqft,5183,sqft,98115,890000
3,3.5,1430,sqft,1200,sqft,98112,1000000
1,1,782,sqft,0.59,acre,98121,515000
5,2,2800,sqft,0.41,acre,98118,1210000
4,2.5,3530,sqft,6000,sqft,98115,1100000
3,2,2160,sqft,4313,sqft,98125,720000
3,2,2010,sqft,5618,sqft,98146,850000
5,3.5,2527,sqft,3217,sqft,98178,1023000
1,1,605,sqft,3.54,acre,98105,270000
5,3.5,3080,sqft,3600,sqft,98119,2125000
3,2.5,2963,sqft,0.31,acre,98177,1480000
3,2,1939,sqft,4949,sqft,98119,1450000
3,1.5,2280,sqft,5400,sqft,98119,1610000
6,3,2870,sqft,3761,sqft,98105,1030000
6,5,3910,sqft,9614,sqft,98108,1300000
4,3,1999,sqft,800,sqft,98102,1350000
2,1.5,1388,sqft,,,98122,599000
7,4,2670,sqft,4183,sqft,98105,845000
2,2,1810,sqft,9120,sqft,98136,699000
3,2.5,1681,sqft,3.97,acre,98126,610000
3,2.5,1512,sqft,1119,sqft,98144,755000
2,2,1090,sqft,0.92,acre,98168,327000
1,1,726,sqft,0.65,acre,98121,448900
3,2,1444,sqft,675,sqft,98144,750000
4,2.5,2658,sqft,5038,sqft,98136,1375888
2,1.5,1200,sqft,1271,sqft,98107,730000
5,2.5,2280,sqft,7574,sqft,98168,680000
4,2.5,2750,sqft,2250,sqft,98122,849995
3,1.5,1650,sqft,3150,sqft,98122,790000
3,2.5,1546,sqft,1600,sqft,98106,720000
1,1,757,sqft,,,98109,432500
5,3.5,4385,sqft,4950,sqft,98103,3100000
4,2,2868,sqft,5250,sqft,98103,1550000
2,2,1280,sqft,5000,sqft,98136,875000
3,2,1279,sqft,4400,sqft,98118,699000
4,2,2278,sqft,5080,sqft,98117,1550000
1,1,376,sqft,0.23,acre,98199,1000000
3,2,1496,sqft,1,acre,98144,843000
4,1,2520,sqft,7475,sqft,98115,875000
2,2,795,sqft,,,98102,550000
3,3,2502,sqft,6401,sqft,98117,995000
5,5,2920,sqft,4000,sqft,98105,1625000
2,2,1130,sqft,622,sqft,98119,775000
2,2,1310,sqft,586,sqft,98122,815000
5,4.5,4060,sqft,8100,sqft,98117,2095000
4,3.5,4460,sqft,1.66,acre,98177,2550000
4,2,2350,sqft,6950,sqft,98118,715000
2,3,1230,sqft,,,98144,619990
4,2.5,2420,sqft,6590,sqft,98117,1310000
2,2,1570,sqft,6000,sqft,98136,760000
1,1,608,sqft,0.68,acre,98121,423000
3,1,1950,sqft,2584,sqft,98103,925000
4,5.5,4670,sqft,7635,sqft,98144,3175000
1,1,647,sqft,,,98122,485000
3,2,1140,sqft,3028,sqft,98136,780000
3,3,2240,sqft,6700,sqft,98117,650000
2,2,1061,sqft,,,98125,380000
4,3,1991,sqft,806,sqft,98102,1050000
3,2.5,1940,sqft,5962,sqft,98116,1172000
2,1.5,2340,sqft,6705,sqft,98199,1025000
4,5,1870,sqft,7980,sqft,98146,700000
1,1,707,sqft,,,98133,335000
2,2.5,1114,sqft,2450,sqft,98122,850000
5,3,3540,sqft,0.25,acre,98115,1185000
4,2,2610,sqft,0.25,acre,98117,875000
2,2,1250,sqft,8331,sqft,98115,850000
3,2,1920,sqft,6250,sqft,98126,980000
3,2.5,1540,sqft,1116,sqft,98103,875000
3,2,1460,sqft,2500,sqft,98117,823000
2,2,1223,sqft,780,sqft,98199,787950
3,2.5,2450,sqft,5000,sqft,98126,1080000
1,1,702,sqft,0.27,acre,98116,426000
5,3,2170,sqft,2752,sqft,98106,765000
2,1,1040,sqft,4500,sqft,98103,875000
4,2,1670,sqft,9800,sqft,98125,960000
4,3,2140,sqft,5400,sqft,98126,805000
3,2.5,1650,sqft,1485,sqft,98103,975000
2,1.5,735,sqft,7688,sqft,98103,353500
4,3.5,3210,sqft,8919,sqft,98136,1750000
4,1,2920,sqft,4820,sqft,98107,899888
4,4,1240,sqft,3867,sqft,98125,750000
4,2.5,2030,sqft,1744,sqft,98144,1025000
2,1,1480,sqft,4400,sqft,98118,675000
2,2,933,sqft,,,98112,865000
1,1,777,sqft,,,98146,244950
5,3,2869,sqft,7930,sqft,98125,967000
3,2,1700,sqft,5750,sqft,98126,835000
2,2,1024,sqft,,,98115,510000
3,2.5,1550,sqft,1031,sqft,98102,840000
5,2.5,2460,sqft,7216,sqft,98125,755000
2,2,1170,sqft,638,sqft,98122,774950
2,1,900,sqft,5250,sqft,98199,750000
3,2.5,1210,sqft,1546,sqft,98108,565000
4,3,3140,sqft,6604,sqft,98144,1750000
2,1,798,sqft,,,98109,370000
2,2.5,1134,sqft,1,acre,98118,520000
2,2.5,1954,sqft,1,acre,98119,1475000
3,3.5,2946,sqft,1,acre,98102,6250000
1,1.5,1244,sqft,,,98164,970000
3,3,1710,sqft,,,98133,659000
3,2.5,1440,sqft,1330,sqft,98117,750000
3,3.5,1790,sqft,1800,sqft,98144,1027000
3,2,2550,sqft,8253,sqft,98178,650000
2,2,1940,sqft,4000,sqft,98116,1505000
5,2,3080,sqft,6300,sqft,98126,772500
3,2,1561,sqft,964,sqft,98125,670000
2,2,1316,sqft,,,98101,899000
4,2.5,2610,sqft,3520,sqft,98112,1715000
3,1,960,sqft,9000,sqft,98117,850000
3,3,2280,sqft,7362,sqft,98117,1150000
2,2,1930,sqft,4000,sqft,98144,900000
2,2,1125,sqft,1.36,acre,98115,424950
3,2,1699,sqft,,,98121,1299000
1,1,730,sqft,,,98115,330000
7,5,4190,sqft,4666,sqft,98115,1513000
2,2,1170,sqft,991,sqft,98103,600000
3,1,1935,sqft,3500,sqft,98103,895000
3,2.5,1550,sqft,1132,sqft,98122,1090000
3,2.5,1290,sqft,1474,sqft,98108,585000
2,2,1202,sqft,,,98109,790000
3,2.5,2420,sqft,4500,sqft,98103,1048000
4,4.5,2190,sqft,4265,sqft,98122,1499950
3,2,1850,sqft,4050,sqft,98178,627000
2,1,970,sqft,,,98125,397500
2,1.5,918,sqft,,,98104,550000
2,2,1080,sqft,831,sqft,98106,499950
1,1,831,sqft,,,98115,415000
4,2,2140,sqft,6180,sqft,98118,825000
3,2,1481,sqft,1316,sqft,98103,1040000
4,4,2630,sqft,3600,sqft,98112,2600000
4,2,1920,sqft,5500,sqft,98118,670000
3,2.5,1870,sqft,5110,sqft,98125,700000
5,2,2260,sqft,0.34,acre,98168,530000
3,1,1210,sqft,0.25,acre,98106,615000
3,1,3000,sqft,4485,sqft,98108,706000
3,3,1560,sqft,5760,sqft,98106,699950
1,1,684,sqft,,,98121,693000
1,1,565,sqft,,,98115,297500
2,2,2880,sqft,5700,sqft,98103,1095000
3,1,1240,sqft,5931,sqft,98125,675000
3,2.5,1468,sqft,1054,sqft,98103,809950
4,3.5,2500,sqft,5000,sqft,98103,1104000
3,3,2360,sqft,8480,sqft,98115,1210000
6,4.5,3480,sqft,5000,sqft,98117,2550000
4,3.5,2199,sqft,,,98117,1560000
3,2,1730,sqft,7500,sqft,98168,386000
3,1.5,2516,sqft,5960,sqft,98119,1020000
4,4,4935,sqft,9600,sqft,98125,1495000
2,2,1168,sqft,1189,sqft,98144,639999
3,2.5,1604,sqft,1120,sqft,98144,769999
3,2.5,1786,sqft,960,sqft,98103,970000
2,2,1174,sqft,800,sqft,98109,785000
2,1,1180,sqft,,,98122,934050
2,2,770,sqft,6300,sqft,98103,170000
4,2.5,2410,sqft,6000,sqft,98105,2000000
3,1.5,1920,sqft,4000,sqft,98199,975000
4,2.5,2610,sqft,6109,sqft,98117,1160000
4,2.5,2680,sqft,6240,sqft,98199,1800000
2,2,1710,sqft,7920,sqft,98125,710000
4,3,2240,sqft,7700,sqft,98178,840000
4,3.5,3500,sqft,5350,sqft,98199,2000000
3,2,1703,sqft,1247,sqft,98117,943000
3,2,2600,sqft,8160,sqft,98177,1195000
3,2,1200,sqft,3500,sqft,98107,685000
1,1,696,sqft,0.75,acre,98122,449000
3,1,840,sqft,6750,sqft,98125,610000
4,2,2570,sqft,3840,sqft,98119,1550000
4,3,2480,sqft,4500,sqft,98117,1270000
4,3.5,2054,sqft,2050,sqft,98103,1165000
4,2.5,1830,sqft,5162,sqft,98125,1050000
5,3.5,2750,sqft,4200,sqft,98112,2450000
3,1,1200,sqft,8869,sqft,98125,2100000
4,3,2280,sqft,5000,sqft,98117,1275000
2,3,1660,sqft,3094,sqft,98112,1300000
4,2.5,3470,sqft,4000,sqft,98102,1100000
2,2,867,sqft,1808,sqft,98115,689000
1,1.5,801,sqft,,,98109,500000
1,1,501,sqft,,,98122,386000
4,3.5,2840,sqft,2957,sqft,98178,720000
3,3,2010,sqft,7104,sqft,98115,925000
2,2,1252,sqft,,,98121,1525000
1,1,721,sqft,,,98101,389000
3,2,1460,sqft,0.3,acre,98115,731250
3,2.5,1107,sqft,4120,sqft,98103,877500
4,1,1400,sqft,7100,sqft,98117,1025000
2,1,1437,sqft,3096,sqft,98125,700000
3,3,3004,sqft,5123,sqft,98112,1450000
1,1,700,sqft,,,98102,410000
2,2,1122,sqft,,,98119,565000
4,1.5,2344,sqft,4000,sqft,98109,1222000
4,3,2960,sqft,6000,sqft,98108,970000
2,2,1063,sqft,,,98109,755000
1,1,674,sqft,1.14,acre,98122,465000
4,3.5,2510,sqft,1,acre,98103,1625000
2,1,680,sqft,0.31,acre,98106,510000
2,2,1450,sqft,2550,sqft,98117,1050000
1,3,934,sqft,0.32,acre,98119,525000
5,3,2400,sqft,5029,sqft,98118,745000
3,2.5,2740,sqft,4000,sqft,98108,489000
5,2,2000,sqft,4625,sqft,98105,1075000
2,2,1799,sqft,4950,sqft,98117,755000
3,2,1740,sqft,6250,sqft,98199,1425000
3,1.5,2370,sqft,4080,sqft,98115,927000
4,3.5,3780,sqft,4360,sqft,98115,1875000
2,1.5,755,sqft,,,98101,500000
1,1,764,sqft,,,98105,510000
3,3,2910,sqft,9612,sqft,98125,1249900
3,3,1419,sqft,951,sqft,98122,861955
4,2,2800,sqft,0.82,acre,98178,675000
3,1.5,1510,sqft,8138,sqft,98133,725000
3,2.5,1520,sqft,1246,sqft,98107,975000
3,2.5,1570,sqft,980,sqft,98102,955000
2,2,1028,sqft,1650,sqft,98103,700000
3,2,1660,sqft,5120,sqft,98106,805000
5,3.5,3153,sqft,4837,sqft,98177,2266000
2,1,875,sqft,3710,sqft,98117,750000
3,2.5,1800,sqft,2516,sqft,98108,655000
3,2.5,1510,sqft,3576,sqft,98136,880000
2,2,1220,sqft,8060,sqft,98178,585000
3,2.5,1630,sqft,4850,sqft,98107,1060000
3,3.5,1319,sqft,1149,sqft,98119,875000
3,2.5,2695,sqft,6324,sqft,98115,1345000
3,4,3410,sqft,0.26,acre,98125,1702619
2,2.5,2094,sqft,4800,sqft,98102,1500000
4,3.5,2380,sqft,4000,sqft,98106,830000
3,3.5,2938,sqft,9224,sqft,98136,1350000
2,1.5,1293,sqft,1070,sqft,98115,779950
3,2,2730,sqft,7200,sqft,98117,1150000
2,1,1120,sqft,1,acre,98102,1350000
3,1,1280,sqft,5000,sqft,98199,875000
3,2.5,2350,sqft,6180,sqft,98115,1625000
1,1,692,sqft,,,98122,499950
3,1.5,1350,sqft,5750,sqft,98126,665000
4,4,2895,sqft,2000,sqft,98119,2206500
4,3.5,4420,sqft,4188,sqft,98199,2350000
4,2,1740,sqft,3605,sqft,98103,950000
1,1,547,sqft,,,98125,264000
3,2,1200,sqft,5700,sqft,98178,624950
3,2,1410,sqft,4387,sqft,98115,1035000
3,1,1290,sqft,4600,sqft,98178,412000
5,4.5,2920,sqft,5026,sqft,98106,1000000
5,3,2310,sqft,0.23,acre,98118,680000
3,2.5,1810,sqft,9409,sqft,98125,899000
4,1.5,1410,sqft,8453,sqft,98133,827500
3,2,1800,sqft,7280,sqft,98178,575000
4,3,2860,sqft,5000,sqft,98117,1165000
2,2,2680,sqft,6097,sqft,98126,749950
4,2,1860,sqft,5700,sqft,98103,1350000
3,2,1340,sqft,6231,sqft,98117,985000
3,1,1110,sqft,6350,sqft,98117,505000
4,3,2527,sqft,4800,sqft,98122,1375000
2,2.5,1057,sqft,8764,sqft,98102,650000
3,2.5,1054,sqft,2246,sqft,98115,815000
4,6.5,3400,sqft,6000,sqft,98122,1550000
4,3,2290,sqft,0.42,acre,98146,685000
4,2,2260,sqft,4200,sqft,98106,760000
3,3,2480,sqft,0.27,acre,98146,1595000
3,1,1240,sqft,7186,sqft,98146,220000
2,2,1036,sqft,656,sqft,98103,799950
2,1,1900,sqft,3600,sqft,98119,1015000
4,2.5,1544,sqft,1561,sqft,98117,975000
2,1,1160,sqft,6860,sqft,98126,525000
3,3,1650,sqft,7883,sqft,98178,591995
1,1,529,sqft,529,sqft,98103,367000
4,3,2310,sqft,5120,sqft,98136,1100000
4,2.5,2880,sqft,6210,sqft,98115,1900000
1,1.5,540,sqft,6364,sqft,98118,750000
1,1,645,sqft,,,98115,515000
3,2.5,2275,sqft,3606,sqft,98122,1528000
2,2.5,1250,sqft,1000,sqft,98107,770000
5,3.5,5420,sqft,0.36,acre,98112,4655625
2,1.5,1088,sqft,1807,sqft,98117,628000
5,4.5,5580,sqft,0.3,acre,98146,3800000
3,2.5,1390,sqft,1570,sqft,98126,575000
3,2.5,2950,sqft,0.47,acre,98118,3105000
5,5,3010,sqft,4887,sqft,98115,1807000
3,2,1301,sqft,3000,sqft,98103,895000
